datetime,place,city,state,temperature,precipitation_total,wind_speed,humidity
2020-01-01,Bandar Saujana Utama,Kuala Selangor,Selangor,27.73986013986014,55.75,0.40804195804195803,77.16048951048951
2020-01-01,Taman Tasik Semenyih,Kajang,Selangor,26.647933884297522,0.0,7.204132231404959,76.4198347107438
2020-01-02,Bandar Saujana Utama,Kuala Selangor,Selangor,27.70701754385965,40.910000000000004,0.3154385964912281,82.23964912280701
2020-01-02,Taman Tasik Semenyih,Kajang,Selangor,26.833333333333332,0.0,4.889523809523809,79.51238095238095
2020-01-03,Bandar Saujana Utama,Kuala Selangor,Selangor,27.977272727272727,534.16,0.2935606060606061,82.425
2020-01-03,Taman Tasik Semenyih,Kajang,Selangor,26.894845360824743,0.0,7.2670103092783505,79.48041237113402
2020-01-04,Bandar Saujana Utama,Kuala Selangor,Selangor,28.053125,0.0,0.5829861111111111,81.41944444444444
2020-01-04,Taman Tasik Semenyih,Kajang,Selangor,27.32134831460674,0.0,8.153932584269663,78.9494382022472
2020-01-05,Bandar Saujana Utama,Kuala Selangor,Selangor,27.565934065934066,21.75,0.3586080586080586,81.81538461538462
2020-01-05,Taman Tasik Semenyih,Kajang,Selangor,25.78405797101449,4.33,4.818115942028985,83.95942028985507
2020-01-06,Bandar Saujana Utama,Kuala Selangor,Selangor,27.916319444444444,190.51,0.3993055555555556,78.72395833333333
2020-01-06,Taman Tasik Semenyih,Kajang,Selangor,25.422307692307694,58.63,2.509230769230769,86.79076923076923
2020-01-07,Bandar Saujana Utama,Kuala Selangor,Selangor,28.119791666666668,0.0,0.5899305555555556,79.43541666666667
2020-01-07,Taman Tasik Semenyih,Kajang,Selangor,25.373387096774195,0.0,2.2419354838709675,86.18951612903226
2020-01-08,Bandar Saujana Utama,Kuala Selangor,Selangor,28.187762237762236,49.2,0.5360139860139861,83.31013986013986
2020-01-08,Taman Tasik Semenyih,Kajang,Selangor,26.26271186440678,0.0,2.4677966101694913,86.51694915254237
2020-01-09,Bandar Saujana Utama,Kuala Selangor,Selangor,27.782638888888886,200.12,0.6107638888888889,81.70590277777778
2020-01-09,Taman Tasik Semenyih,Kajang,Selangor,26.660317460317458,0.0,3.7412698412698413,84.54444444444445
2020-01-10,Bandar Saujana Utama,Kuala Selangor,Selangor,26.758333333333333,8287.21,0.5236111111111111,85.81909722222223
2020-01-10,Taman Tasik Semenyih,Kajang,Selangor,24.351162790697675,0.0,1.3589147286821706,95.19612403100774
2020-01-11,Bandar Saujana Utama,Kuala Selangor,Selangor,27.077777777777776,0.0,0.44062500000000004,85.19305555555555
2020-01-11,Taman Tasik Semenyih,Kajang,Selangor,25.95921052631579,0.0,1.5532894736842104,89.28289473684211
