date,ron95,ron97
2024-12-26,2.05,3.25
2024-12-19,2.05,3.22
2024-12-12,2.05,3.19
2024-12-05,2.05,3.19
2024-11-28,2.05,3.19
2024-11-21,2.05,3.19
2024-11-14,2.05,3.19
2024-11-07,2.05,3.19
2024-10-31,2.05,3.19
2024-10-24,2.05,3.19
2024-10-17,2.05,3.19
2024-10-10,2.05,3.19
2024-10-03,2.05,3.19
2024-09-26,2.05,3.19
2024-09-19,2.05,3.19
2024-09-12,2.05,3.25
2024-09-05,2.05,3.4
2024-08-29,2.05,3.42
2024-08-22,2.05,3.47
2024-08-15,2.05,3.47
2024-08-08,2.05,3.47
2024-08-01,2.05,3.47
2024-07-25,2.05,3.47
2024-07-18,2.05,3.47
2024-07-11,2.05,3.47
2024-07-04,2.05,3.47
2024-06-27,2.05,3.47
2024-06-20,2.05,3.47
2024-06-13,2.05,3.47
2024-06-10,2.05,3.47
2024-06-06,2.05,3.47
2024-05-30,2.05,3.47
2024-05-23,2.05,3.47
2024-05-16,2.05,3.47
2024-05-09,2.05,3.47
2024-05-02,2.05,3.47
2024-04-25,2.05,3.47
2024-04-18,2.05,3.47
2024-04-11,2.05,3.47
2024-04-04,2.05,3.47
2024-03-28,2.05,3.47
2024-03-21,2.05,3.47
2024-03-14,2.05,3.47
2024-03-07,2.05,3.47
2024-02-29,2.05,3.47
2024-02-22,2.05,3.47
2024-02-15,2.05,3.47
2024-02-08,2.05,3.47
2024-02-01,2.05,3.47
2024-01-25,2.05,3.47
2024-01-18,2.05,3.47
2024-01-11,2.05,3.47
2024-01-04,2.05,3.47
2023-12-28,2.05,3.47
2023-12-21,2.05,3.47
2023-12-14,2.05,3.47
2023-12-07,2.05,3.47
2023-11-30,2.05,3.47
2023-11-23,2.05,3.47
2023-11-16,2.05,3.47
2023-11-09,2.05,3.47
2023-11-02,2.05,3.47
2023-10-26,2.05,3.47
2023-10-19,2.05,3.47
2023-10-12,2.05,3.37
2023-10-05,2.05,3.37
2023-09-28,2.05,3.37
2023-09-21,2.05,3.37
2023-09-14,2.05,3.37
2023-09-07,2.05,3.37
2023-08-31,2.05,3.37
2023-08-24,2.05,3.37
2023-08-17,2.05,3.37
2023-08-10,2.05,3.37
2023-08-03,2.05,3.37
2023-07-27,2.05,3.37
2023-07-20,2.05,3.37
2023-07-13,2.05,3.37
2023-07-06,2.05,3.37
2023-06-29,2.05,3.37
2023-06-22,2.05,3.37
2023-06-15,2.05,3.37
2023-06-08,2.05,3.37
2023-06-01,2.05,3.37
2023-05-25,2.05,3.35
2023-05-18,2.05,3.35
2023-05-11,2.05,3.35
2023-05-04,2.05,3.35
2023-04-27,2.05,3.35
2023-04-20,2.05,3.35
2023-04-13,2.05,3.35
2023-04-06,2.05,3.35
2023-03-30,2.05,3.35
2023-03-23,2.05,3.35
2023-03-16,2.05,3.35
2023-03-09,2.05,3.35
2023-03-02,2.05,3.35
2023-02-23,2.05,3.35
2023-02-16,2.05,3.35
2023-02-09,2.05,3.35
2023-02-02,2.05,3.35
2023-01-26,2.05,3.35
2023-01-19,2.05,3.35
2023-01-12,2.05,3.35
2023-01-05,2.05,3.35
2022-12-29,2.05,3.35
2022-12-22,2.05,3.35
2022-12-15,2.05,3.55
2022-12-08,2.05,3.75
2022-12-01,2.05,3.85
2022-11-24,2.05,3.95
2022-11-17,2.05,3.95
2022-11-10,2.05,3.95
2022-11-03,2.05,3.95
2022-10-27,2.05,3.95
2022-10-20,2.05,3.95
2022-10-13,2.05,3.95
2022-10-06,2.05,3.95
2022-09-29,2.05,4.0
2022-09-22,2.05,4.05
2022-09-14,2.05,4.15
2022-09-08,2.05,4.2
2022-09-01,2.05,4.3
2022-08-25,2.05,4.3
2022-08-18,2.05,4.35
2022-08-11,2.05,4.4
2022-08-04,2.05,4.5
2022-07-28,2.05,4.55
2022-07-21,2.05,4.65
2022-07-14,2.05,4.75
2022-07-07,2.05,4.8
2022-06-30,2.05,4.84
2022-06-23,2.05,4.84
2022-06-16,2.05,4.83
2022-06-09,2.05,4.72
2022-06-02,2.05,4.7
2022-05-26,2.05,4.7
2022-05-19,2.05,4.33
2022-05-12,2.05,4.31
2022-05-05,2.05,3.94
2022-04-28,2.05,3.94
2022-04-21,2.05,3.81
2022-04-14,2.05,3.81
2022-04-07,2.05,3.81
2022-03-31,2.05,3.91
2022-03-24,2.05,3.83
2022-03-17,2.05,4.0
2022-03-10,2.05,3.75
2022-03-03,2.05,3.45
2022-02-24,2.05,3.29
2022-02-17,2.05,3.27
2022-02-10,2.05,3.21
2022-02-03,2.05,3.12
2022-01-27,2.05,3.12
2022-01-20,2.05,3.07
2022-01-13,2.05,3.07
2022-01-06,2.05,3.03
2021-12-30,2.05,3.0
